Connect;Database;DateCreate;DateUpdate;Flags;ForeignName;Id;Lv;LvExtra;LvModule;LvProp;Name;Owner;ParentId;RmtInfoLong;RmtInfoShort;Type
;;28-Feb-00;13-Mar-25;0;;234908;;;;;ovrl_epm;;251658241;;;1
;;22-May-24;13-Mar-25;0;;234911;;;;;phase;;251658241;;;1
;;12-Feb-09;13-Mar-25;0;;269366;;;;;pl_strap;;251658241;;;1
;;11-Apr-20;13-Mar-25;0;;278692;;;;;plan_pub;;251658241;;;1
;;06-Nov-03;13-Mar-25;0;;278697;;;;;pub_ssn;;251658241;;;1
;;14-May-98;13-Mar-25;0;;278780;;;;;pwr_ctrl;;251658241;;;1
;;15-Oct-24;13-Mar-25;0;;278783;;;;;ras_ant_type;;251658241;;;1
;;22-May-24;13-Mar-25;0;;278818;;;;;res35_deploy;;251658241;;;1
;;22-May-24;13-Mar-25;0;;278824;;;;;res35_freq;;251658241;;;1
;;29-Mar-22;13-Mar-25;0;;278914;;;;;res35_launch;;251658241;;;1
;;22-May-24;13-Mar-25;0;;278981;;;;;res35_sp_stn;;251658241;;;1
;;22-May-24;13-Mar-25;0;;279067;;;;;res35_sp_stn_deploy;;251658241;;;1
;;22-May-24;13-Mar-25;0;;279089;;;;;res49_sel;;251658241;;;1
;;22-May-24;13-Mar-25;0;;279093;;;;;res8_sp_stn;;251658241;;;1
;;29-Mar-22;13-Mar-25;0;;279130;;;;;s_as_stn;;251658241;;;1
;;22-May-24;13-Mar-25;0;;279934;;;;;s_beam;;251658241;;;1
;;22-May-24;13-Mar-25;0;;285544;;;;;sat_lnk;;251658241;;;1
;;29-Mar-22;13-Mar-25;0;;285766;;;;;srv_area;;251658241;;;1
;;07-Sep-24;13-Mar-25;0;;285768;;;;;sat_oper;;251658241;;;1
;;14-Jun-12;13-Mar-25;0;;285782;;;;;sat_sys_provn;;251658241;;;1
;;22-May-24;13-Mar-25;0;;285785;;;;;scraft_cmr_freq;;251658241;;;1
;;22-May-24;13-Mar-25;0;;285789;;;;;scraft_cmr_syst;;251658241;;;1
;;22-May-24;13-Mar-25;0;;285794;;;;;sps_results;;251658241;;;1
;;27-Jun-16;13-Mar-25;0;;285799;;;;;srs_ooak;;251658241;;;1
;;14-May-98;13-Mar-25;0;;286323;;;;;srv_cls;;251658241;;;1
;;22-May-24;13-Mar-25;0;;297596;;;;;srvlnk_sat;;251658241;;;1
;;14-May-98;13-Mar-25;0;;301762;;;;;strap;;251658241;;;1
;;22-May-24;13-Mar-25;0;;304615;;;;;tr_aff_ntw;;251658241;;;1
;;22-May-24;13-Mar-25;0;;425648;;;;;tr_provn;;251658241;;;1
;;00-Jan-00;00-Jan-00;-2147483648;;251658241;;;;;Tables;;251658240;;;3
;;00-Jan-00;00-Jan-00;-2147483648;;251658242;;;;;Databases;;251658240;;;3
;;00-Jan-00;00-Jan-00;-2147483648;;251658243;;;;;Relationships;;251658240;;;3
;;00-Jan-00;17-Apr-25;-2147483648;;268435456;;;;;MSysDb;;251658242;;;2
